sub-tool?,,,,,,
pkgname,,,,,toolname,prettyname
,,"all: sh -c ""*"", -1: ls -l, 1: toolname, 2: toolname -h, 3: toolname --help",,,,
desktop file,package,desktop file,,,menu name,pkgbuild desc
toolname,pkgname,exec,term,cat,prettyname,description
voiphopper,,2,1,bt4,,
voipong,,2,1,bt4,,
volatility,,1,1,bt4,,
vomit,,2,1,bt4,,
w3af_console,w3af,1,1,bt4,W3AF (Console),
w3af_gui,w3af,1,0,bt4,W3AF (GUI),
wafw00f,waffit,1,1,bt4,,
waffit,,,,bt4,,
wapiti,,1,1,bt4,,
warvox,,warvox.rb & firefox http://127.0.0.1:7777,1,bt4,,
wavemon,,1,1,bt4,,
wbc,,-1,1,bt4,,
wbox,,1,1,bt4,,
webscarab,,java -Xmx256m -jar webscarab.jar,0,bt4,,
websecurify,,1,0,bt4,,
webshag,,1,0,bt4,,
wepbuster,,1,1,bt4,,
pcap-getiv,wepcrack,1,1,bt4,,
weakivgen,wepcrack,1,1,bt4,,
wepcrack,,1,1,bt4,,
wep_keygen,wepkeygen,1,1,bt4,,
wesside-ng,,1,1,bt4,,
wfuzz,,1,1,bt4,,
wgetpaste,,2,1,bt4,,
whatweb,,1,1,bt4,,
wifiarp,wifitap,1,1,bt4,,
wifidns,wifitap,1,1,bt4,,
wifiping,wifitap,1,1,bt4,,
wifitap,,1,1,bt4,,
wifizoo,,1,1,bt4,,
wipe,,2,1,bt4,,
tshark,wireshark,,,bt4,,
wireshark,,1,0,bt4,,
spectool_gtk,wispy,1,0,bt4,WiSpy GTK?,
wmat,,1,1,bt4,,
wordlists,,,,bt4,,
wsfuzzer,,1,1,bt4,,
wyd,,1,1,bt4,,
xhydra,,1,0,bt4,,
xplico,,/etc/init.d/apache2 restart && /etc/init.d/xplico && firefox http://localhost:9876/,1,bt4,,
xprobe2,,1,0,bt4,,
xspy,,2,1,bt4,,
xsss,,1,1,bt4,,
xwatchwin,,1,1,bt4,,
zulu,,1,1,bt4,,
zzuf,,3,1,bt4,,
fern-wifi-cracker,,,0,fnord0,,
hanstunnel,,,,fnord0,,
intrace,,,,fnord0,,
